Year,Rain Fall (in millimeters),Temperature,Amount of NPK Used ,Net irrigated Area (in Hectare),Yield of Wheat (kg/Hectare)
2005-06,56.1,26,528.988,3161000,1379
2006-07,60.2,23.5,634.634,3462000,1908
2007-08,98.5,25,68,3529000,2058
2008-09,38.7,24.5,733.2,3536000,2043
2009-10,84.3,25.5,772.872,3064000,2084
2010-11,94.9,25.5,798.38,3030000,1948
2011-12,56.4,23.2,813.07,3052000,2206
2012-13,107.4,25.2,895,3053000,2427
2013-14,256.7,22.8,325.6,2933000,2358
2014-15,124.4,23.35,209.85,2987000,1850.6
2015-16,28.8,25.35,235.12,2958000,2244
2016-17,106.4,25.1,340.6,3101000,2843
2017-18,65.85,25.15,204.03,3105000,2264
2018-19,89.1,23.65,386.24,3115000,2998
2019-20,179.3,24,331,3059000,2595
2020-21,37.2,24.7,363,3044000,2767
2021-22,252.5,22.5,396,3082000,2780
2022-23,115.6,25.1,1680.92,3124000,2958
2023-24,148.8,23.7,299.75,3351000,3150
,,,,,
,,,,,
,,,,,
,,,,,
