Year,Rain Fall (in millimeters),Temperature,Amount of NPK Used,Net irrigated Area (in Hectare),Yield of Wheat (kg/Hectare)
2005-06,75,24.83333333,2146,13118799,2586
2006-07,225,23.75,2235.37,13074753,2772
2007-08,119,24,2258.16,13313151,2799
2008-09,72,23.7,2312.07,13084528,2997
2009-10,256.3,24.8,2553.53,13435129,2854
2010-11,96.9,24.92857143,2366.85,13383402,3111
2011-12,143.4,22.89285714,2487.54,13440354,3283
2012-13,187.2,24.92857143,2641.65,13808746,3217
2013-14,338.9,22.63571429,1392.43,13928516,3110
2014-15,250.6,24.95714286,2320.06,14026987,2027
2015-16,215.6,24.58333333,2328.21,14389438,2786
2016-17,154.4,23.71666667,2336.93,14337000,3538
2017-18,72,23.875,2410.92,14332000,3457
2018-19,143.7,24.02142857,2447.93,14392000,3432
2019-20,208.6,23.88571429,2760.72,14334000,3432
2020-21,218.4,24.5,3004.4,14334000,3604
2021-22,489.4,23.27142857,2683.64,13941000,3604
2022-23,357.7,25.01428571,2938.7,14044000,3531
2023-24,256.4,23.91428571,2859.95,13703000,3708
