Year,Rain Fall (in millimeters),Temperature,Amount of NPK Used,Net irrigated Area (in Hectare),Yield of Wheat (kg/Hectare)
2005-06,539,26.5,776.811,3135000,2109
2006-07,278,25,856.006,3136000,2282
2007-08,315,24.5,1374.738,3136000,2602
2008-09,324.9,25.5,883.277,3135000,2490
2009-10,254.1,26.5,992.816,3112000,2680
2010-11,273.3,25.5,911.025,2955000,2760
2011-12,197.7,24.1,1060.93,3078000,2765
2012-13,420,24.3,16.46,3082000,2786
2013-14,537.7,24.3,824,3099000,2791
2014-15,240,26.4,692.96,3102000,2807
2015-16,219.3,24.95,756.85,3105000,2825
2016-17,254.8,26.3,838.56,3106000,2825
2017-18,427.2,24.95,779.51,3107000,2987
2018-19,413.5,25.55,746.79,3107000,3012
2019-20,640.1,25.35,1599.16,3108000,2708
2020-21,367.3,24.95,1737.61,3128000,3077
2021-22,497,25.45,1034,3127000,2974
2022-23,300.9,25.65,961,3088000,3088
2023-24,496.4,25.95,405.12,3105000,3127
,,,,,
,,,,,
,,,,,
,,,,,
